incdtno,year,month,day,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd
TC0722102,22,7,5,5,45,AM,1,46,75,1,1.0,10,0,0,0,T,4,1,1,1,83
MT0922201,22,9,7,5,35,PM,7,46,89,3,1.0,36,15077,116,0,M,1,3,5,5,129
TC0922104,22,9,18,1,15,AM,1,46,65,4,1.0,23,3219,0,93,T,1,3,6,6,135
RCP173922D,22,8,28,10,0,PM,1,46,70,4,1.0,10,1600,1,50,T,1,1,4,4,117
220925001,22,9,25,11,0,AM,1,46,69,2,1.0,10,14640,109,1,T,1,1,7,7,85
RCP123322D,22,6,29,3,51,PM,1,46,95,2,2.0,10,9063,70,1,T,1,1,5,5,75
TC1222114,22,12,20,8,45,AM,12,46,5,1,1.0,5,4246,1,102,H,4,1,7,7,125
220621001,22,6,21,2,20,AM,1,46,62,4,1.0,10,15868,115,1,T,1,1,5,5,85
RCP991122D,22,1,27,11,19,PM,1,46,22,4,1.0,9,8767,65,10,T,1,1,1,1,55
205732,22,6,22,1,0,PM,1,47,93,2,1.0,4,0,38,10,H,2,1,7,3,65
210397,22,9,2,2,29,AM,12,47,62,4,1.0,2,0,1,0,M,4,1,4,3,37
203650,22,3,17,8,25,AM,1,47,54,2,1.0,3,0,0,0,H,2,1,10,10,107
1131116,22,7,5,11,0,AM,11,47,99,2,1.0,0,0,1,0,M,2,1,3,3,157
151491,22,11,17,1,30,AM,1,47,29,4,1.0,0,0,0,0,H,1,2,3,3,157
1120537,22,12,11,3,2,PM,1,47,45,2,2.0,5,12216,71,81,E,1,4,8,8,131
209011,22,12,29,9,54,PM,4,47,60,4,1.0,0,0,4,16,H,2,1,6,3,37
209011,22,12,29,9,54,PM,4,47,60,4,1.0,4,0,3,22,H,2,1,7,3,37
208972,22,12,26,3,40,AM,1,47,12,4,2.0,25,9507,64,73,M,1,3,10,10,165
151770,22,12,20,12,30,PM,7,47,45,2,2.0,30,4538,26,26,M,1,3,4,4,65
208508,22,11,25,9,36,PM,1,47,45,4,1.0,5,0,7,67,E,2,1,6,6,37
145515,22,6,8,9,0,PM,13,47,84,4,2.0,18,8958,59,7,M,1,4,5,5,105
208896,22,12,20,2,20,AM,1,47,35,4,1.0,5,0,40,38,E,2,1,2,3,37
151478,22,11,16,1,15,AM,12,47,40,4,1.0,0,0,0,1,H,2,1,3,3,65
151478,22,11,16,1,15,AM,12,47,40,4,1.0,3,0,1,0,H,2,1,1,3,65
151546,22,11,24,2,52,PM,12,47,67,2,1.0,3,0,1,0,M,2,1,6,3,65
151587,22,11,30,5,14,AM,13,47,52,1,3.0,5,0,0,2,H,2,1,6,3,65
151533,22,11,22,10,55,PM,13,47,43,4,1.0,5,0,0,0,H,2,1,3,3,65
151546,22,11,24,2,52,PM,12,47,67,2,1.0,0,0,1,2,M,2,1,3,3,65
151478,22,11,16,1,15,AM,12,47,40,4,1.0,0,0,0,1,H,2,1,3,3,65
151461,22,11,14,4,30,PM,12,47,48,3,2.0,2,0,1,0,E,2,1,1,3,65
1122MA023,22,11,17,12,48,AM,1,47,34,4,1.0,10,8525,62,29,T,1,2,10,3,157
206788,22,8,20,2,1,PM,12,47,72,2,2.0,0,0,0,1,H,2,1,3,3,65
206788,22,8,20,2,1,PM,12,47,72,2,2.0,7,0,0,3,H,2,1,3,3,65
206875,22,8,25,8,11,AM,1,47,84,2,1.0,5,10260,81,59,M,1,3,2,2,37
HL0722102,22,7,3,1,0,AM,1,47,82,4,1.0,3,2450,20,14,H,2,1,3,2,157
HL0722109,22,7,16,2,0,PM,1,47,100,2,1.0,4,2310,18,10,H,2,1,3,6,157
205508,22,6,13,2,25,AM,1,47,80,4,1.0,6,0,32,48,M,2,1,3,3,37
205490,22,6,11,1,25,AM,4,47,80,4,1.0,4,0,32,46,H,2,1,1,3,37
145808,22,7,12,6,15,PM,13,47,72,3,1.0,4,2999,16,26,H,2,1,2,2,93
205490,22,6,11,1,25,AM,4,47,80,4,1.0,0,10415,124,67,H,2,1,11,11,37
145127,22,4,30,9,51,AM,12,47,72,2,1.0,0,0,8,23,H,2,1,3,3,93
145127,22,4,30,9,51,AM,12,47,72,2,1.0,3,0,29,19,H,2,1,3,3,93
144960,22,4,12,8,40,PM,13,47,72,4,1.0,1,0,0,0,H,2,1,6,3,65
203943,22,3,31,1,0,PM,1,47,48,2,2.0,4,0,6,3,M,4,1,5,5,37
205218,22,5,28,2,40,PM,4,47,66,2,1.0,0,2169,1,61,H,2,1,9,9,65
205218,22,5,28,2,40,PM,4,47,66,2,1.0,7,0,20,0,H,2,1,8,3,65
205233,22,5,30,4,0,PM,1,47,86,2,1.0,6,0,24,37,H,2,1,9,9,17
205115,22,5,23,1,45,PM,1,47,68,2,1.0,5,13713,89,71,E,2,1,8,8,37
145891,22,7,19,4,47,PM,7,47,88,3,1.0,34,2808,67,67,M,1,4,5,5,59
207995,22,10,25,12,27,PM,1,47,75,2,3.0,22,0,1,0,H,4,1,3,3,75
151251,22,10,23,4,43,AM,1,47,50,1,1.0,4,0,0,2,H,2,1,8,3,65
151279,22,10,26,9,15,AM,1,47,65,2,1.0,5,11831,73,67,T,2,2,1,1,65
207917,22,10,19,6,57,PM,12,47,38,3,2.0,9,0,6,0,E,2,1,3,3,163
HL0922109,22,9,17,10,20,PM,1,47,80,4,1.0,5,8171,68,11,H,2,1,3,3,157
207917,22,10,19,6,57,PM,12,47,38,3,2.0,9,0,33,11,E,2,1,3,3,163
HL0922107,22,9,14,4,15,PM,1,47,80,2,1.0,2,0,0,0,H,2,1,3,1,157
146240,22,8,19,10,40,PM,1,47,85,4,2.0,8,10797,66,66,T,2,1,2,2,65
1108639,22,7,17,8,40,AM,4,47,80,2,1.0,0,0,2,0,H,2,1,3,3,157
204122,22,4,9,4,35,PM,1,47,58,2,1.0,2,0,49,43,E,2,1,2,2,37
HL1122103,22,11,10,3,15,PM,1,47,65,2,1.0,3,8422,82,44,H,2,1,9,9,157
205344,22,6,4,2,15,AM,7,47,65,4,1.0,7,11363,73,65,M,1,1,8,8,37
205343,22,5,28,10,30,PM,1,47,70,4,1.0,7,0,2,1,M,2,1,3,3,37
151367,22,11,2,4,55,PM,12,47,52,3,1.0,2,0,0,1,E,2,1,8,3,65
HL1122109,22,11,19,2,25,AM,1,47,35,4,1.0,2,254,2,1,H,2,1,3,3,157
HL1122105,22,11,14,2,0,PM,1,47,48,2,1.0,7,3197,23,24,E,2,1,6,6,157
146387,22,9,5,4,20,PM,1,47,89,3,1.0,5,2845,31,40,T,2,1,10,10,157
1099816,22,4,14,9,15,PM,1,47,52,4,1.0,11,13106,97,0,E,2,2,9,9,157
1108639,22,7,17,8,40,AM,4,47,80,2,1.0,2,6203,42,20,H,2,1,3,3,157
202736,22,1,27,9,40,PM,12,47,31,4,2.0,2,0,0,0,H,2,1,6,3,37
202736,22,1,27,9,40,PM,12,47,31,4,2.0,2,0,1,0,H,2,1,3,3,37
202589,22,1,22,10,0,AM,12,47,26,2,1.0,7,0,1,1,M,2,1,2,3,37
1091513,22,1,1,6,1,PM,1,47,58,4,3.0,0,2357,16,8,H,2,1,2,2,157
1091513,22,1,1,6,1,PM,1,47,58,4,3.0,5,0,0,2,H,2,1,2,2,157
144244,22,2,2,6,4,AM,1,47,55,1,2.0,47,8334,43,74,E,1,4,7,7,107
144527,22,2,27,12,25,AM,13,47,42,4,3.0,3,0,8,13,H,2,1,8,3,65
144456,22,2,19,6,7,PM,1,47,28,3,1.0,34,6519,29,94,E,1,4,4,4,129
144502,22,2,24,2,0,AM,1,47,31,4,3.0,0,0,0,0,H,3,1,3,3,157
HL0422102,22,4,4,12,2,PM,1,47,70,2,2.0,4,2937,24,9,H,2,1,5,4,157
NERR2205,22,3,21,12,40,PM,1,47,70,2,1.0,0,1700,2,13,M,1,3,4,4,189
0322MA008,22,3,10,5,43,AM,1,47,43,1,1.0,6,4081,0,53,H,2,1,10,10,157
151461,22,11,14,4,30,PM,12,47,48,3,2.0,0,0,1,0,E,2,1,3,3,65
203564,22,3,11,7,0,AM,4,47,40,1,1.0,10,0,20,30,H,2,1,8,3,37
203564,22,3,11,7,0,AM,4,47,40,1,1.0,10,0,20,20,H,2,1,3,3,37
203356,22,3,1,7,45,AM,1,47,39,1,1.0,4,0,108,13,H,2,1,3,3,37
146245,22,8,20,1,30,AM,1,47,85,4,2.0,25,8124,86,92,H,1,3,11,11,65
HL0122101,22,1,2,12,46,AM,1,47,45,4,3.0,4,3477,42,1,T,2,1,3,1,157
143897,22,1,1,4,13,PM,12,47,70,3,2.0,2,0,100,39,M,2,1,6,3,65
144658,22,3,10,5,43,AM,13,47,48,1,1.0,0,0,0,0,H,2,1,3,3,157
144725,22,3,17,6,50,PM,1,47,72,3,1.0,3,0,0,0,H,2,1,1,1,65
144673,22,3,12,6,5,AM,1,47,27,1,6.0,5,13134,107,24,H,1,2,3,3,93
0322GC032,22,3,31,11,0,AM,7,48,63,2,2.0,45,1275,0,3,M,1,4,3,3,373
0322MA005,22,3,6,12,51,PM,1,48,80,2,2.0,42,13262,118,40,H,1,4,7,7,63
220308001,22,3,8,3,40,AM,1,48,32,4,1.0,10,1352,0,33,T,1,2,9,9,495
0222HO030,22,2,22,1,10,PM,12,48,78,2,2.0,5,5005,1,0,H,4,1,3,3,201
KS0422202,22,4,28,6,21,AM,7,48,70,1,1.0,65,4220,29,0,M,1,5,5,5,211
RD0422122,22,4,24,11,41,AM,1,48,81,2,1.0,52,10425,75,25,E,1,4,3,3,331
RD0422125,22,4,29,6,30,PM,1,48,76,3,1.0,4,3082,31,20,T,2,1,11,11,29
RD0222106,22,2,7,9,10,PM,1,48,32,4,1.0,6,6676,79,0,H,2,1,11,11,485
RD0222118,22,2,22,1,5,AM,2,48,73,4,1.0,8,3853,30,0,H,2,1,2,2,291
RD0222118,22,2,22,1,5,AM,2,48,73,4,1.0,1,8991,66,13,H,2,1,9,9,291
0122TO016,22,1,17,3,0,PM,11,48,62,2,1.0,0,0,0,0,E,1,3,3,3,113
0322SX022,22,3,26,3,30,PM,12,48,90,2,1.0,3,4200,30,22,H,2,1,7,7,29
0522GC010,22,5,4,5,0,PM,1,48,83,2,1.0,4,7310,41,58,T,4,1,8,8,391
0322SX022,22,3,26,3,30,PM,12,48,90,2,1.0,0,1000,10,2,H,2,1,3,3,29
0322SX025,22,3,30,9,34,AM,1,48,51,2,1.0,28,8003,49,100,M,1,2,1,1,43
0322TO008,22,3,12,1,24,AM,12,48,29,4,1.0,5,78,0,1,M,2,1,3,3,439
0322HO020,22,3,14,8,57,PM,12,48,68,4,2.0,4,3016,1,1,H,2,1,5,3,201
0322HO021,22,3,15,11,10,PM,1,48,62,4,1.0,4,2192,17,1,E,2,1,4,4,201
KS0322202,22,3,3,11,6,AM,7,48,65,2,1.0,60,5134,31,0,M,1,5,2,2,179
KS0222201,22,2,1,5,26,PM,7,48,18,3,2.0,45,229,2,0,M,1,5,9,9,375
0222HO030,22,2,22,1,10,PM,12,48,78,2,2.0,2,9867,70,0,H,4,1,5,5,201
2022000010,22,3,1,12,10,PM,12,48,68,2,1.0,1,3040,31,5,H,2,1,5,5,201
0322HO002,22,3,2,2,4,AM,1,48,55,4,2.0,5,1521,10,5,H,2,1,11,11,201
2022000011,22,3,2,5,50,PM,1,48,70,2,1.0,7,1994,15,1,H,4,1,2,2,201
22043001,22,4,30,11,20,AM,1,48,80,2,1.0,20,1085,8,0,T,1,2,2,2,93
0322HO001,22,3,1,12,10,PM,12,48,63,2,1.0,5,8275,1,0,H,2,1,4,3,201
0122TO010,22,1,9,5,8,PM,1,48,53,2,1.0,5,12993,91,65,H,1,5,9,3,141
0122TO012,22,1,10,8,56,PM,12,48,44,4,2.0,2,2744,15,31,H,2,1,5,3,113
0122TO012,22,1,10,8,56,PM,12,48,44,4,2.0,0,135,1,0,H,2,1,3,3,113
0122SX010,22,1,14,1,35,AM,12,48,42,4,1.0,4,5137,50,1,H,2,1,3,3,29
0122SX001,22,1,3,5,30,PM,1,48,55,2,1.0,10,2325,27,2,H,2,1,1,1,29
0122SX010,22,1,14,1,35,AM,12,48,42,4,1.0,0,48,0,1,H,2,1,3,3,29
TNE921822,22,2,22,5,27,PM,1,48,42,2,1.0,10,9872,75,0,T,2,1,1,1,181
0122HO013,22,1,5,4,45,PM,13,48,73,2,2.0,0,0,0,0,H,2,1,3,3,71
0122HO026,22,1,27,1,31,PM,12,48,57,2,1.0,5,48,0,1,M,2,1,3,3,201
0122SX012,22,1,16,6,35,PM,1,48,61,3,2.0,5,2303,23,6,H,4,1,11,3,29
22032903,22,3,29,6,39,PM,9,48,75,3,1.0,30,4204,9,85,M,1,4,4,4,63
SW0322106,22,3,25,7,37,PM,1,48,65,3,1.0,8,0,0,0,T,2,1,3,3,141
0322HO020,22,3,14,8,57,PM,12,48,68,4,2.0,5,0,0,0,H,2,1,6,3,201
0322HL020,22,3,19,7,0,PM,1,48,66,3,1.0,7,6162,61,0,E,2,1,11,11,111
RD0322103,22,3,3,8,17,AM,1,48,60,1,1.0,7,617,0,20,H,2,1,1,1,27
RD0322104,22,3,4,5,4,PM,1,48,55,3,1.0,5,3113,25,11,H,2,1,8,8,245
RD0322116,22,3,16,10,15,AM,1,48,75,2,1.0,5,770,7,0,H,2,1,3,3,291
RD0322118,22,3,19,6,25,PM,1,48,67,3,1.0,5,5081,33,18,M,2,1,7,7,201
RD0122135,22,1,31,3,30,PM,1,48,60,2,3.0,3,5356,0,58,H,2,1,7,7,201
RD0122126,22,1,24,11,45,AM,12,48,54,2,2.0,7,0,1,0,H,2,1,4,4,201
RD0122102,22,1,2,8,19,AM,1,48,41,1,2.0,1,4103,47,23,E,2,1,8,8,199
RD0122107,22,1,8,9,53,AM,1,48,59,2,2.0,50,13735,98,0,T,1,4,7,7,487
RD0122109,22,1,5,4,45,PM,13,48,75,2,1.0,7,2288,19,6,H,2,1,8,8,71
7092022,22,7,9,3,30,AM,1,48,72,4,1.0,8,4,0,0,H,2,3,9,9,113
0422HO011,22,4,16,7,50,PM,12,48,79,3,2.0,1,37,0,1,H,2,1,3,3,201
0422HO011,22,4,16,7,50,PM,12,48,79,3,2.0,3,472,2,6,H,2,1,4,3,201
0422HO013,22,4,20,7,16,AM,7,48,70,1,1.0,36,11942,73,48,M,1,3,6,6,201
0422SX004,22,4,10,5,12,PM,1,48,79,2,1.0,3,18094,134,17,H,2,1,2,2,395
0422SX029,22,4,27,8,30,PM,12,48,78,4,2.0,2,267,2,3,M,2,1,3,3,29
0422SX029,22,4,27,8,30,PM,12,48,78,4,2.0,4,651,4,9,M,2,1,5,5,29
0422TO001,22,4,2,12,36,AM,1,48,63,4,2.0,1,8390,56,14,M,2,1,1,3,439
0422TO025,22,4,21,7,26,AM,1,48,72,1,1.0,4,6304,22,78,E,2,1,1,1,439
0422TO033,22,4,27,1,30,AM,1,48,69,4,1.0,4,24149,183,12,H,1,3,10,10,141
DGN972822,22,6,6,1,0,PM,1,48,89,2,2.0,10,3229,20,0,T,2,1,7,7,181
0122SX007,22,1,14,3,0,AM,12,48,43,4,1.0,5,48,0,1,H,2,1,3,3,29
0322TO008,22,3,12,1,24,AM,12,48,29,4,1.0,4,4140,29,10,M,2,1,1,3,439
0322TO015,22,3,17,3,15,AM,1,48,59,4,1.0,7,1416,7,16,E,2,1,11,11,227
0222HO035,22,2,26,12,30,AM,1,48,42,4,2.0,18,10961,65,64,T,3,4,6,6,201
0222SX024,22,2,25,7,15,PM,12,48,31,3,3.0,8,3199,15,32,H,2,1,4,3,395
0222SX006,22,2,10,5,26,PM,1,48,66,2,1.0,25,10948,98,20,T,1,3,10,10,287
0222SX024,22,2,25,7,15,PM,12,48,31,3,3.0,5,48,0,1,H,2,1,3,3,395
0122HO021,22,1,18,7,30,AM,12,48,54,1,1.0,2,110,10,14,S,2,1,8,3,201
0122HO021,22,1,18,7,30,AM,12,48,54,1,1.0,4,115,1,0,S,2,1,3,3,201
0122SX007,22,1,14,3,0,AM,12,48,43,4,1.0,8,600,9,1,H,2,1,4,4,29
TESR00006F,22,9,20,12,30,PM,1,48,91,2,1.0,9,502,3,3,T,1,1,5,5,1
1022HO003,22,10,4,8,30,AM,1,48,66,2,1.0,5,3256,9,32,H,2,1,9,3,201
1022HO022,22,10,24,8,0,AM,1,48,75,2,3.0,2,80,0,2,E,2,1,1,3,201
RD1022121,22,10,20,5,28,AM,12,48,68,1,1.0,5,6878,39,49,H,2,1,7,7,49
1022HO015,22,10,14,9,59,PM,7,48,79,4,1.0,24,3290,0,106,M,1,4,9,9,41
1022GC013,22,10,15,7,0,PM,12,48,77,3,1.0,5,31,0,1,M,2,1,3,3,245
RD1122114,22,11,14,7,30,AM,1,48,55,1,1.0,10,1771,14,7,T,2,1,7,7,291
1022HO018,22,10,20,12,48,AM,1,48,51,4,1.0,7,9593,54,113,H,1,1,10,10,201
RD1122201,22,11,1,8,13,AM,7,48,64,1,3.0,52,2634,9,53,M,1,4,9,9,39
220731001,22,7,31,10,45,AM,1,48,93,2,1.0,5,1056,12,0,T,4,1,5,5,201
1022SX008,22,10,12,1,15,AM,1,48,58,4,1.0,29,12126,117,0,E,1,4,2,2,43
1022SX021,22,10,23,9,5,AM,12,48,68,2,1.0,0,31,0,1,H,2,1,3,3,29
1022SX021,22,10,23,9,5,AM,12,48,68,2,1.0,4,31,0,1,H,2,1,2,2,29
1022TO009,22,10,9,12,0,PM,7,48,66,2,2.0,45,21708,169,11,M,1,4,7,7,141
1022TO016,22,10,13,12,50,PM,11,48,66,2,1.0,40,6188,135,0,E,1,4,11,11,353
RD1122121,22,11,20,2,20,PM,1,48,37,2,3.0,4,4039,27,14,H,2,1,7,7,49
GVS079222,22,12,30,10,30,AM,1,48,68,2,1.0,3,10777,85,0,T,4,1,3,3,167
221126003,22,11,26,4,35,PM,1,48,75,2,1.0,9,1378,0,41,E,2,2,7,7,355
RV22018,22,11,28,1,43,PM,1,48,78,2,1.0,2,1238,17,5,E,2,1,6,6,61
RD1122128,22,11,27,4,30,PM,1,48,60,2,1.0,2,8231,58,27,H,2,1,4,4,51
1122HO013,22,11,13,11,30,PM,12,48,55,4,2.0,4,67,0,1,M,2,1,7,3,201
1122HO020,22,11,18,7,28,AM,12,48,49,2,2.0,1,5778,40,19,H,2,1,3,3,201
LSI103122,22,10,31,5,30,PM,1,48,72,3,1.0,8,8400,60,0,T,2,1,9,9,353
RD1122131,22,11,30,7,25,AM,1,48,18,1,1.0,15,17451,122,0,H,1,4,6,6,375
1122TO029,22,11,27,12,41,AM,12,48,53,4,1.0,8,10249,62,94,H,1,5,5,3,141
RD1022132,22,10,31,5,30,PM,1,48,72,3,1.0,0,0,0,0,T,2,1,3,3,353
RD1022127,22,10,27,9,48,PM,1,48,70,4,2.0,4,8942,52,84,M,1,4,10,10,27
221120001,22,11,20,11,21,PM,1,48,46,4,3.0,15,12468,90,0,H,1,1,5,5,453
22051402,22,5,14,1,30,AM,1,48,75,4,1.0,5,505,2,6,H,2,2,1,1,245
22052803,22,5,28,3,30,PM,1,48,93,2,1.0,23,17661,129,0,T,1,4,6,6,315
RD0522201,22,5,1,8,34,PM,7,48,75,3,1.0,47,4227,16,29,M,1,4,5,5,321
RD0522125,22,5,24,8,58,AM,1,48,73,1,2.0,9,5286,27,49,H,2,1,1,1,49
RD0522131,22,5,27,4,58,PM,12,48,90,2,1.0,10,1166,7,12,H,2,1,9,9,51
RD0522120,22,5,18,1,15,AM,1,48,73,4,1.0,8,2500,0,74,H,2,1,9,9,201
SW0522105,22,5,28,5,50,AM,1,48,75,1,1.0,5,11050,85,0,H,2,1,5,5,141
DGN023722,22,9,12,8,50,AM,1,48,72,2,1.0,4,2650,20,1,T,4,1,2,2,113
RD0522106,22,5,7,4,40,AM,1,48,75,1,1.0,5,3572,0,116,T,4,1,4,4,189
RD0522109,22,5,9,9,6,PM,1,48,82,4,1.0,5,2745,0,2,H,2,1,5,5,439
RD0522108,22,5,9,5,50,AM,1,48,70,1,1.0,3,10752,57,82,H,2,1,10,11,167
DGN002822,22,8,2,8,40,PM,1,48,99,4,1.0,9,1892,12,30,T,2,1,5,5,113
BRG223198,22,10,1,12,9,AM,1,48,70,4,1.0,0,0,0,20,T,2,1,4,4,61
DGN988222,22,7,7,3,0,PM,1,48,103,2,1.0,10,3909,32,0,T,2,1,10,9,181
2022000028,22,6,22,3,0,AM,5,48,75,4,1.0,8,2131,15,4,H,2,1,4,4,201
0922SX003,22,9,3,6,45,AM,12,48,77,1,1.0,0,16874,118,0,H,4,1,5,5,325
0922SX003,22,9,3,6,45,AM,12,48,77,1,1.0,10,3557,0,130,H,4,1,7,7,325
0922SX012,22,9,13,7,40,AM,12,48,74,2,1.0,0,200,0,5,H,2,1,11,3,29
0922SX012,22,9,13,7,40,AM,12,48,74,2,1.0,4,200,1,0,H,2,1,8,3,29
0922SX013,22,9,15,1,30,PM,7,48,87,2,1.0,30,9159,52,89,M,1,4,3,3,187
0922SX015,22,9,17,12,20,AM,1,48,78,4,2.0,7,16938,89,142,H,2,1,3,3,395
0922SX030,22,9,25,1,4,PM,1,48,92,2,1.0,44,18212,129,11,E,1,4,3,3,283
0922TO010,22,9,7,6,58,PM,7,48,93,3,1.0,20,7673,42,80,M,1,3,6,6,439
0922TO014,22,9,19,8,35,AM,12,48,74,2,1.0,2,141,1,0,M,2,1,3,3,439
0922TO014,22,9,19,8,35,AM,12,48,74,2,1.0,2,4071,25,26,M,2,1,1,3,439
0922TO015,22,9,19,5,15,AM,1,48,76,1,1.0,20,21307,149,0,E,1,4,7,7,439
0922TO025,22,9,21,9,30,AM,13,48,81,2,1.0,4,5123,27,41,M,2,1,10,3,439
0922TO027,22,9,30,6,55,AM,7,48,59,1,1.0,60,6874,120,0,M,1,5,3,3,389
0922HO008,22,9,8,9,40,AM,1,48,77,2,1.0,7,1716,14,0,M,2,1,3,3,157
0922HO011,22,9,11,2,0,PM,1,48,91,2,1.0,2,1156,4,19,M,2,1,7,3,201
0922HO033,22,9,25,2,30,PM,12,48,96,2,1.0,4,0,0,0,H,2,1,7,3,291
0922HO033,22,9,25,2,30,PM,12,48,96,2,1.0,4,5471,0,20,H,2,1,6,6,291
RD0822129,22,8,23,4,21,PM,1,48,90,2,1.0,7,421,3,0,T,4,1,10,10,313
RD0822107,22,8,7,8,30,PM,1,48,94,3,1.0,7,875,0,35,E,4,1,2,2,139
RD0822112,22,8,11,10,30,AM,1,48,95,2,1.0,8,1188,9,6,T,2,1,3,3,161
RD0622208,22,6,29,9,56,AM,7,48,93,2,1.0,40,5333,78,0,M,1,4,3,3,497
RD0622124,22,6,27,7,35,AM,1,48,86,1,1.0,2,10656,80,17,H,2,1,8,8,27
RD0622111,22,6,12,8,35,PM,1,48,85,3,1.0,6,12155,85,0,E,3,1,5,5,201
0522SX025,22,5,27,1,19,PM,7,48,91,2,1.0,39,5932,28,95,M,1,4,2,2,91
0522SX028,22,5,30,11,25,AM,7,48,82,2,1.0,44,6335,109,0,M,1,4,3,3,463
0522SX032,22,5,30,3,35,AM,1,48,77,4,2.0,5,3136,15,61,T,2,1,1,1,491
0522SX033,22,5,31,9,42,PM,1,48,86,4,2.0,6,11960,83,63,H,1,2,1,1,491
0522TO001,22,5,1,4,40,AM,1,48,55,1,1.0,8,2104,16,3,H,2,1,5,3,439
0522TO005,22,5,3,4,5,AM,7,48,62,1,1.0,40,9583,72,14,M,1,5,2,2,329
0522TO034,22,5,19,1,30,AM,1,48,84,4,1.0,5,429,0,7,T,4,1,3,3,141
0522TO040,22,5,22,12,50,AM,1,48,74,4,1.0,5,872,6,2,T,4,1,2,2,141
0722HL002,22,7,3,11,15,PM,1,48,79,4,1.0,3,4267,30,0,T,4,1,10,10,375
0722HO001,22,7,1,3,23,AM,1,48,76,4,3.0,10,12991,79,122,E,2,1,11,11,201
0722HO002,22,7,2,5,0,AM,1,48,77,1,2.0,9,4664,50,110,T,4,1,4,4,201
0722HO010,22,7,17,11,23,AM,12,48,92,2,2.0,5,12149,74,75,H,2,1,7,7,201
0722TO057,22,7,21,4,0,AM,12,48,88,1,1.0,5,48,0,1,M,2,1,3,3,439
0722HO014,22,7,18,9,40,AM,1,48,84,2,1.0,0,30,0,1,M,2,1,3,3,201
0722HO014,22,7,18,9,40,AM,1,48,84,2,1.0,7,1921,2,48,M,2,1,2,3,201
0722SX006,22,7,4,11,59,PM,12,48,84,4,1.0,10,282,2,0,H,2,1,8,3,29
0722SX006,22,7,4,11,59,PM,12,48,84,4,1.0,5,3600,2,38,H,2,1,10,10,29
0722SX021,22,7,22,9,30,PM,6,48,91,4,2.0,0,123,0,2,E,2,1,3,3,29
0722SX021,22,7,22,9,30,PM,6,48,91,4,2.0,6,11360,79,10,E,2,1,5,5,29
0722SX029,22,7,28,1,41,PM,1,48,92,2,1.0,28,18793,109,160,H,1,3,6,6,51
0722TO005,22,7,3,6,40,AM,1,48,77,1,1.0,2,2924,26,9,T,2,1,8,8,141
0722TO007,22,7,4,8,45,PM,1,48,95,4,1.0,5,2428,19,13,H,2,1,5,3,113
0722TO008,22,7,5,7,45,AM,1,48,81,2,1.0,4,3093,23,7,E,2,1,3,3,439
0522HO024,22,5,21,5,25,PM,7,48,90,2,2.0,25,7886,46,58,M,1,4,7,7,201
0722TO013,22,7,7,12,0,PM,1,48,91,2,1.0,1,17790,129,12,H,2,1,7,7,135
0722TO028,22,7,14,6,21,PM,12,48,90,3,1.0,0,2103,31,9,M,1,2,3,3,113
KS0822111,22,8,17,4,50,AM,1,48,69,1,1.0,67,5636,49,0,T,1,5,7,7,117
0722TO028,22,7,14,6,21,PM,12,48,90,3,1.0,14,6453,61,36,M,1,2,3,3,113
0722TO044,22,7,20,6,51,PM,1,48,107,3,1.0,9,7348,0,0,M,1,3,3,3,113
0722TO050,22,7,25,5,53,AM,12,48,84,1,1.0,0,41,0,1,M,2,1,3,3,439
KS0822205,22,8,30,10,46,AM,7,48,73,2,1.0,65,5121,37,0,M,1,5,1,1,117
0722TO050,22,7,25,5,53,AM,12,48,84,1,1.0,6,126,1,0,M,2,1,5,3,439
0722TO051,22,7,25,1,24,PM,12,48,98,2,1.0,3,129,1,0,M,2,1,3,3,439
0722TO051,22,7,25,1,24,PM,12,48,98,2,1.0,2,11271,84,2,M,2,1,6,3,439
0822TO041,22,8,29,9,15,PM,1,48,81,4,1.0,5,7104,58,5,M,2,1,9,9,141
0722TO052,22,7,25,5,0,AM,12,48,82,1,1.0,3,1695,11,0,H,2,1,10,3,309
0722TO052,22,7,25,5,0,AM,12,48,82,1,1.0,5,96,0,2,H,2,1,3,3,309
0722TO057,22,7,21,4,0,AM,12,48,88,1,1.0,2,3100,10,10,M,2,1,5,3,439
0522HO027,22,5,23,9,49,AM,1,48,73,2,2.0,1,5969,41,28,H,2,1,3,3,201
HF0715,22,7,15,10,0,AM,1,48,90,2,1.0,5,5121,37,0,H,2,1,3,3,303
0722TO042,22,7,17,3,44,PM,1,48,104,2,1.0,5,8606,61,11,H,2,1,5,5,439
KS0822206,22,8,31,3,24,PM,7,48,87,2,1.0,26,5407,46,0,M,1,4,10,10,381
0522GC005,22,5,1,8,34,PM,7,48,78,4,1.0,0,0,0,0,M,1,4,3,3,321
0522GC040,22,5,28,12,30,AM,13,48,77,4,1.0,4,3308,17,15,E,2,1,5,3,39
0722TO040,22,7,18,11,15,PM,9,48,95,4,1.0,7,450,0,5,M,2,1,9,9,439
220802003,22,8,2,3,46,AM,1,48,74,4,1.0,10,10397,75,4,T,1,1,9,9,453
0822SX023,22,8,29,9,45,PM,12,48,80,4,2.0,2,232,0,5,H,2,1,6,3,395
